domain,2025-05-31,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2026-01-03,2026-01-04
khanlin.com,865686,977286,961798,967405,974339,978183,981068,967527,970489,974749,978908,981864,985227,,,,,,,,,,,,,,,,,,
agedefyingtonic.com,865687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intersv.ru,865688,866162,866864,869262,869973,871946,876146,881398,885205,881194,880335,879063,869057,871288,869887,870245,876438,889776,903825,914613,914613,941797,936905,936905,939013,941721,944370,952040,930557,,
5am.es,865689,840354,838468,836335,839054,838494,843975,846585,845977,834964,721695,706957,694901,688271,678273,675123,673047,669387,663789,658418,658418,658936,666656,666656,660771,672950,676050,665629,665006,535206,533471
hosttools.com,865690,975656,971178,990408,993111,992727,998730,,,,999797,,,,,,,,,,,,,,,,,,,,
jobboxsoft.com,865691,909941,918079,908639,904216,901911,899808,898396,898966,904022,910399,902417,893766,893759,893029,894967,904562,915316,927711,920900,920900,948496,957403,957403,972422,968098,963882,961334,942728,,
greca.co,865692,864938,859098,851927,852129,852950,855894,857551,857815,863153,868411,868053,868155,868558,867968,867894,867698,867811,876186,882445,882445,909101,936226,936226,926588,917357,888772,867726,862130,660608,653518
ogwhjlpgtqyf.com,865693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montpelier-vt.org,865694,914436,915743,900638,903503,908812,911626,912466,913480,914337,917457,919440,922099,924358,926418,929568,947382,948973,950254,948479,948479,972589,976157,976157,978700,974671,977587,979966,983062,,
inspirationalwomenseries.com,865695,950594,957170,963480,971523,976935,981256,969971,975806,980734,986221,991296,,,,,,,,,,,,,,,,,,,
lin.ac,865696,735392,733193,734019,733582,733418,733644,736619,738887,741615,824509,825620,830927,836010,842038,842353,848049,853295,860897,866561,866561,892648,921090,921090,934759,937112,944601,952664,937801,,
fotokniga-na-pamyat.ru,865697,444833,442597,441651,439931,440464,443225,445852,446471,447214,447324,447709,447685,446193,447189,447621,450032,453671,452528,452093,452093,450309,449768,449768,449509,445869,446416,448039,448671,,
show.news,865698,983985,964882,965671,969107,969059,944153,936691,935110,934146,931997,931511,930975,931107,930353,930577,926673,931343,922618,913855,913855,901200,915217,915217,839276,820634,722130,708123,696293,,
mangawatcherx.com,865699,883249,879588,881423,881306,876889,876864,873084,868967,859538,847611,840087,834488,828850,737772,721247,711230,693755,687981,677689,677689,654789,644813,644813,630108,637863,637536,632272,628642,585001,582605
asmonaco.basketball,865700,947365,947228,945851,923851,918880,911146,902959,894764,887191,880379,879167,879047,877446,875834,873588,877303,883267,882964,881889,881889,892083,913236,913236,884529,868133,845125,838365,824167,,
packeddirect.com,865701,835872,832443,828746,823678,740572,735226,728882,720460,711114,696163,687803,679556,670273,662367,652810,646407,637090,625275,615960,615960,599906,585732,585732,559543,543655,534486,519465,509578,526322,525829
trailmeister.com,865702,925798,928028,931418,918641,923714,925091,926485,927822,930708,931745,933829,935412,938026,940735,958115,960364,963831,965082,987431,987431,989159,991021,991021,994263,991619,994341,998504,,,
hosting334.com,865703,713529,712830,723476,724897,721302,709067,703396,698001,689208,689145,679777,667222,656908,641606,623378,610904,607605,608198,616103,616103,621606,620014,620014,636240,644112,646514,647042,652163,454847,454788
isouker.com,865704,619257,627811,638236,649270,660751,674587,689383,713290,731601,835809,856542,880686,906425,933905,979305,,,,,,,,,,,,,,,
