domain,2025-05-31,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2026-01-03,2026-01-04,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01
demio.com,42657,41614,41660,41623,41567,41543,41566,41550,41565,41620,41364,41353,41226,41139,41175,41113,41090,41031,40948,40763,40763,40783,40839,40839,40787,40689,40764,40734,40755,46119,46448,46477,46477,46307,46208,46132,46161,45957,45710,45424,45079,44835,44599,44503,44319,44101,43587,43102,42567,42131,41692,41238,40684,40342,39984,39479,39008
brewdog.com,42658,42156,42205,42251,42353,42483,42520,42490,42531,42565,42503,42574,42547,42505,42479,42367,42360,42370,42356,42303,42303,42310,42379,42379,42518,42259,42384,42506,42729,45433,45316,44651,44651,44492,44338,44214,44085,44051,44073,44065,44084,44131,44182,44321,44391,44521,44706,44747,44729,44743,44807,44869,44982,44933,44994,45058,45187
imcdn.pro,42659,40787,40828,40847,40856,40784,40825,40788,40822,40627,40547,40765,40846,40845,40846,40707,41146,41571,42071,42532,42532,43461,43925,43925,43913,44065,44227,44345,44541,88295,87695,89035,89035,89369,89679,89710,89427,88913,88553,88095,87936,87467,87015,86791,86255,85001,84718,84360,83813,83444,82463,81488,80860,80566,80036,79889,79956
merlin.net,42660,45953,45886,45872,45848,45789,45652,45628,45636,45668,45702,44859,44188,43555,42938,42233,41551,40940,40847,40706,40706,40601,40544,40544,40650,40522,40567,40569,40600,42158,42116,41896,41896,41898,41896,41913,41903,41873,41910,41961,42062,42141,42197,42334,42416,42474,42601,42792,42846,42902,42925,42972,43018,43012,43030,43037,43094
sohonet.com,42661,55812,55609,54560,53803,52944,52055,51170,50006,48498,47117,46180,45114,43826,42839,41659,41022,39987,39101,38758,38758,37472,37051,37051,35761,35897,35706,35266,35209,67602,67559,67223,67223,66646,66047,66727,67356,68014,68214,67915,67378,66680,65949,65304,64178,63609,62915,62351,62083,61011,60862,61037,60874,60780,60331,60116,59759
mims.com,42662,41922,41929,41912,41908,41968,42018,41964,41891,41869,41660,41736,41702,41647,41631,41448,41119,40818,40557,40188,40188,39690,39482,39482,39520,39314,39394,39440,39509,46134,45712,44653,44653,44444,44220,44011,43789,43590,43436,43238,43033,42872,42732,42742,42724,42750,42808,42901,42909,42913,42972,41413,39776,38635,37491,36455,35519
cn846.com,42663,33908,33721,33708,33554,33304,33212,33184,33276,33562,32969,32764,32940,32838,32633,32480,32011,31327,31384,31442,31442,31763,31671,31671,31955,32689,32869,32976,33220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
platoapp.com,42664,42436,42482,42482,42592,42725,42760,42816,42883,42860,42774,42844,42875,42904,42920,42904,42753,42658,42679,42623,42623,42544,42494,42494,42482,42403,42535,42592,42730,90985,91152,92077,92077,92212,92275,92343,92344,92449,92423,92870,93083,93017,93075,93131,95818,96604,97408,98233,99072,100008,100957,100945,100897,101015,101057,101087,101240
gov-static.tech,42665,41971,41542,41237,41537,41675,41879,41972,42011,42117,42035,42308,42509,42648,42740,42794,42650,42583,42727,42800,42800,42851,42791,42791,42646,42529,42461,42441,42358,40311,40230,39929,39929,39940,39912,39899,39885,39814,39808,39854,39845,39855,39812,39767,39771,39721,39729,39726,39722,39862,39857,39621,39600,39607,39648,39523,39329
vakinha.com.br,42666,42569,42590,42632,42708,42818,42843,42859,42888,42912,42855,42895,42854,42845,42838,42799,42673,42607,42420,42341,42341,42236,42219,42219,42213,41862,41950,42011,42145,42330,42278,42064,42064,42022,42000,41965,41904,41810,41775,41753,41804,41833,41846,41932,41989,42046,42134,42281,42336,42327,42330,42355,42321,42355,42326,42311,42321
voxcinemas.com,42667,43547,43405,42903,42868,43097,42958,42642,42287,42496,41344,41238,41836,42160,42135,41824,41695,41072,40815,40523,40523,40103,39531,39531,39229,39022,38429,38346,38218,49749,50140,50275,50275,50581,50416,50313,50558,50459,50527,50619,50529,50000,50106,49842,49640,50082,50177,50526,51580,51503,51755,51511,51555,51512,49159,49000,45606
steelersdepot.com,42668,42954,43049,43069,43119,43212,43212,43255,43302,43434,43687,43538,43538,43595,43660,43767,43694,43687,43579,43579,43579,43475,43530,43530,43696,43469,43565,43701,43893,51895,51669,50939,50939,50747,50520,50300,50107,49949,49800,49610,49401,49218,49133,49061,48873,48746,48445,48265,48188,48082,48045,48050,47931,47823,47614,47546,47482
cmt.com,42669,43744,43884,44056,44327,44511,44620,44683,44815,44916,45147,45100,45181,45325,45442,45573,45689,45574,45470,45465,45465,45241,45230,45230,45298,45039,45152,45211,45337,57456,57327,57198,57198,57191,57150,57137,57049,57117,57200,57224,57369,57693,58074,58111,58215,58182,58258,58441,58795,58752,58786,58775,58801,58889,58955,58922,58882
ezprk.dev,42670,31413,31820,30485,31314,32947,33990,35068,34914,34222,36200,36180,40702,42289,41033,41133,40112,40590,41334,40668,40668,42212,44784,44784,47081,47537,48351,47964,49174,32958,33274,35538,35538,35872,36979,39181,40679,41518,41606,41617,40218,41282,41355,40840,40363,40496,40571,40904,59664,116270,115993,116019,124090,120032,134512,146648,125960
