domain,start_rank,end_rank,rank_change,change_percent
trivago.ru,956293,0,-1000000,退出排名
1wins-eg.com,733612,0,-1000000,退出排名
milivineboutique.com,733659,0,-1000000,退出排名
datalifeinformatica.com.br,733648,0,-1000000,退出排名
idataresearch.com,956297,0,-1000000,退出排名
qloudea.com,956296,0,-1000000,退出排名
radiateinc.com,956295,0,-1000000,退出排名
satyn.lviv.ua,800454,0,-1000000,退出排名
saturajapoker.pro,800447,0,-1000000,退出排名
1xbetin.com,956333,0,-1000000,退出排名
schalav.net,956332,0,-1000000,退出排名
mrdannyglover.com,618864,0,-1000000,退出排名
zaintv.net,618863,0,-1000000,退出排名
rafid.ae,618860,0,-1000000,退出排名
clicksends.net,618899,0,-1000000,退出排名
bandsforhire.net,956323,0,-1000000,退出排名
tripplestream.com,733615,0,-1000000,退出排名
zapmedia.ink,956289,0,-1000000,退出排名
solarexistanbul.com,956286,0,-1000000,退出排名
sanpedro.com,956284,0,-1000000,退出排名
fitzcarraldoeditions.com,956283,0,-1000000,退出排名
okna-servise.com,956280,0,-1000000,退出排名
tacno.net,956279,0,-1000000,退出排名
temeculawines.org,956278,0,-1000000,退出排名
shotoverjet.com,979473,0,-1000000,退出排名
h10182.cn,979472,0,-1000000,退出排名
kennyg.com,979471,0,-1000000,退出排名
ocdn.hu,979469,0,-1000000,退出排名
k9g8z5.com,979468,0,-1000000,退出排名
stwcp.net,979467,0,-1000000,退出排名
rifoundation.org,979466,0,-1000000,退出排名
thermory.com,910549,0,-1000000,退出排名
dbsbank.jp,979456,0,-1000000,退出排名
reiq.com,979454,0,-1000000,退出排名
macuisineturque.fr,979453,0,-1000000,退出排名
mob1213.ru,979450,0,-1000000,退出排名
eaea.org,979449,0,-1000000,退出排名
hostinginvestors.com,979446,0,-1000000,退出排名
nesteditor.net,733647,0,-1000000,退出排名
1marka.ru,733641,0,-1000000,退出排名
ucn.ca,733605,0,-1000000,退出排名
aab0i.com,618951,0,-1000000,退出排名
midwest-horse.com,956370,0,-1000000,退出排名
cloud-spie.com,956331,0,-1000000,退出排名
moutai.com.cn,910555,0,-1000000,退出排名
m-pro.online,910553,0,-1000000,退出排名
oetker.ca,733635,0,-1000000,退出排名
sanmiaocdn.com,910545,0,-1000000,退出排名
natrixseparations.com,869383,0,-1000000,退出排名
365ittictic.com,910522,0,-1000000,退出排名
